OBJECTID,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
73,7130,7992,California Mesic Serpentine Grassland,7130,2130,He California Mesic Serpentine Grassland,Herb,Grassland,617,Grassland,SRM 215: Valley Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,235,153,1,0.921569,0.6
74,7131,923618,California Northern Coastal Grassland,7131,2131,He California Northern Coastal Grassland,Herb,Grassland,617,Grassland,SRM 214: Coastal Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,248,148,1,0.972549,0.580392
75,7135,233887,Inter-Mountain Basins Semi-Desert Grassland,7135,2135,He Inter-Mountain Basins Semi-Desert Grassland,Herb,Grassland,617,Grassland,SRM 502: Grama-Galetta,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,200,125,1,0.784314,0.490196
76,7136,36096,Mediterranean California Alpine Dry Tundra,7136,2136,He Mediterranean California Alpine Dry Tundra,Herb,Grassland,616,Dry Tundra,SRM 213: Alpine Grassland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,211,119,1,0.827451,0.466667
77,7137,2954386,Mediterranean California Subalpine Meadow,7137,2137,He Mediterranean California Subalpine Meadow,Herb,Grassland,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 216: Montane Meadows,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,205,112,1,0.803922,0.439216
78,7138,6,North Pacific Montane Grassland,7138,2138,He North Pacific Montane Grassland,Herb,Grassland,617,Grassland,SRM 102: Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,198,107,1,0.776471,0.419608
79,7144,15522,Rocky Mountain Alpine Turf,7144,2144,He Rocky Mountain Alpine Turf,Herb,Grassland,616,Dry Tundra,SRM 410: Alpine Rangeland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,171,145,106,0.670588,0.568627,0.415686
80,7145,30347,Rocky Mountain Subalpine-Montane Mesic Meadow,7145,2145,He Rocky Mountain Subalpine-Montane Mesic Meadow,Herb,Grassland,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 409: Tall Forb,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,163,82,1,0.639216,0.321569
81,7146,56765,Southern Rocky Mountain Montane-Subalpine Grassland,7146,2146,He Southern Rocky Mountain Montane-Subalpine Grassland,Herb,Grassland,617,Grassland,SRM 410: Alpine Rangeland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,171,145,106,0.670588,0.568627,0.415686
82,7151,322560,California Central Valley Riparian Woodland,7151,2151,Tr California Central Valley Riparian Woodland and Shrubland,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Deciduous open tree canopy,81,180,141,0.317647,0.705882,0.552941
83,7152,235108,California Central Valley Riparian Shrubland,7151,2151,Tr California Central Valley Riparian Woodland and Shrubland,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Shrub-dominated,Shrubland,Deciduous shrubland,81,180,141,0.317647,0.705882,0.552941
84,7153,1464429,Inter-Mountain Basins Greasewood Flat,7153,2153,Sh Inter-Mountain Basins Greasewood Flat,Shrub,Shrubland,619,Greasewood Shrubland,SRM 501: Saltbush-Greasewood,Shrub-dominated,Shrubland,Evergreen shrubland,194,170,126,0.760784,0.666667,0.494118
85,7156,78556,North Pacific Lowland Riparian Forest,7156,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,Tree,Riparian,632,Red Alder Forest and Woodland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.262745,0.635294,0.709804
86,7157,500624,North Pacific Lowland Riparian Shrubland,7156,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,Shrub,Riparian,632,Red Alder Forest and Woodland,SAF 222: Black Cottonwood-Willow,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,67,162,181,0.262745,0.635294,0.709804
87,7158,373543,North Pacific Montane Riparian Woodland,7158,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,Tree,Riparian,635,Western Riparian Woodland and Shrubland,SAF 222: Black Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,67,162,181,0.262745,0.635294,0.709804
88,7159,35044,North Pacific Montane Riparian Shrubland,7158,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,Shrub,Riparian,635,Western Riparian Woodland and Shrubland,SAF 222: Black Cottonwood-Willow,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,67,162,181,0.262745,0.635294,0.709804
89,7170,8688,Klamath-Siskiyou Xeromorphic Serpentine Savanna,7170,2170,Tr Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Tree,Conifer,607,Chaparral,SAF 248: Knobcone Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,224,252,192,0.878431,0.988235,0.752941
90,7171,1397,North Pacific Alpine and Subalpine Dry Grassland,7171,2171,He North Pacific Alpine and Subalpine Dry Grassland,Herb,Grassland,617,Grassland,SRM 103: Green Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,114,48,1,0.447059,0.188235
91,7172,991967,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,7172,2172,Tr Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Tree,Conifer,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,204,0,0,0.8,0
92,7173,343653,North Pacific Wooded Volcanic Flowage,7173,2173,Tr North Pacific Wooded Volcanic Flowage,Tree,Conifer,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,163,240,219,0.639216,0.941176,0.858824
93,7177,154479,California Coastal Closed-Cone Conifer Forest and Woodland,7177,2177,Tr California Coastal Closed-Cone Conifer Forest and Woodland,Tree,Conifer,610,Conifer-Oak Forest and Woodland,SAF 248: Knobcone Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,224,252,192,0.878431,0.988235,0.752941
94,7234,97151,Mediterranean California Mesic Serpentine Chaparral,7034,2034,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,Shrub,Shrubland,607,Chaparral,SAF 248: Knobcone Pine,Shrub-dominated,Shrubland,Evergreen shrubland,224,252,192,0.878431,0.988235,0.752941
95,7260,430361,Mediterranean California Lower Montane Black Oak Forest and Woodland,7030,2260,Tr Mediterranean California Lower Montane Black Oak Forest and Woodland,Tree,Hardwood,610,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,0,189,0,0,0.741176,0
96,7261,737482,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,7030,2261,Tr Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,Tree,Conifer-Hardwood,610,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,189,0,0,0.741176,0
97,7264,659837,California Lower Montane Blue Oak Woodland and Savanna,7114,2264,Tr California Lower Montane Blue Oak Forest and Woodland,Tree,Hardwood,610,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,121,217,207,0.47451,0.85098,0.811765
